sex,degree,uni_level,u_loan,guarantee,amount,income,period_m,repayment_m,repayment_T,count,c_borrowing,c_repayment,c_overdue,c_fre,c_over_fre,c_overrate,c_over_frerate,performance
male,bachelor,other,travel,Y,0.109063206,0.015545665,0.505109906,-0.238009593,0.106394138,-0.420400799,0.556433314,0.551219754,-0.37018922,0.246735524,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,study,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,-0.542785555,1.762921709,1.964899041,-0.37018922,1.613174388,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,high,trading,N,-1.801619982,-1.944737573,0.505109906,-0.818821387,-2.216701824,-0.787555067,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
male,,other,study,N,4.738272982,2.795424268,0.505109906,0.910476901,4.678340976,-0.05324653,-0.018084969,0.023526156,-0.37018922,-0.436483908,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,living,N,1.26636565,0.063776997,-0.13050129,0.210670165,1.207283859,-0.624375392,0.412803743,0.472341336,-0.37018922,0.005599253,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,shopping,Y,0.109063206,-0.387169096,0.505109906,-0.244594685,0.080182112,-0.05324653,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,study,N,-1.048239237,-0.981460056,0.505109906,-0.530070036,-1.056250713,-0.624375392,0.700062885,0.753683084,-0.37018922,0.206546145,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,shopping,Y,0.109063206,0.217914891,0.505109906,-0.234700501,0.119567113,0.191522982,1.130951598,1.158010236,0.565651301,0.045788632,0.203867676,0.629390095,0.045010782,0
male,bachelor,other,living,Y,0.109063206,0.158215969,-0.13050129,-0.118385924,0.115681086,-0.461195717,3.687557959,3.43990337,-0.37018922,7.119119223,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,travel,N,0.109063206,-0.561881194,-0.766112487,0.039887937,0.068809443,-0.298016042,-0.448973682,-0.375489258,-0.37018922,-0.436483908,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,study,N,-1.974081192,-1.819943217,0.505109906,-0.764386826,-1.989028896,0.191522982,-0.046810883,0.366932171,-0.37018922,4.265673359,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,study,N,-1.974081192,-1.819943217,0.505109906,-0.764386826,-1.989028896,-0.094041449,0.154270516,0.579620151,-0.37018922,4.98908217,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,living,N,-0.816778749,-1.128515027,-0.766112487,-0.304919429,-0.846273262,0.27311282,0.269174172,0.698990728,-0.37018922,5.47135471,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,living,Y,-1.279699726,-0.937613391,0.505109906,-0.584504596,-1.272945942,-0.501990636,0.556433314,0.687821091,-0.37018922,0.166356767,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,travel,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,-0.175631286,1.705469881,1.978166954,-0.37018922,0.929954956,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,rent,N,-1.048239237,-1.526845121,-1.401723683,-0.255845598,-1.091751663,0.109933145,-0.448973682,-0.383262533,-0.37018922,-0.436483908,-0.370365459,-0.461184806,-0.42676589,1
female,master,other,entertainment,N,-1.279699726,-1.753498654,-2.672946075,0.523577887,-1.326054989,-0.298016042,1.832199997,1.703206404,-0.37018922,1.613174388,-0.370365459,-0.461184806,-0.42676589,1
female,master,other,entertainment,N,-0.284419624,-0.323760071,0.505109906,-0.337315438,-0.288924664,0.844241682,3.234024608,2.977947291,-0.37018922,2.216015063,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,study,Y,-1.048239237,-0.675885898,0.505109906,-0.525073307,-1.0363593,-0.624375392,-0.348432982,-0.163510017,-0.37018922,0.045788632,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,other,N,-0.353857771,-1.073200772,-0.766112487,-0.138108111,-0.403573462,0.191522982,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,living,Y,-1.511160215,-1.648604276,-2.037334879,-0.309585579,-1.538776809,-0.624375392,-0.018084969,0.019675083,-0.37018922,-0.15515826,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,living,N,-1.279699726,-1.52515871,-0.766112487,-0.480102749,-1.311191481,-0.338810961,0.26775224,0.282848706,-0.37018922,0.56825055,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,trading,N,-1.339972037,-1.944737573,0.505109906,-0.818821387,-2.216701824,-0.787555067,-0.582664086,-0.499282472,-0.37018922,0.045788632,-0.370365459,-0.461184806,-0.42676589,1
female,,other,trading,N,-1.898509343,-1.933607265,-2.672946075,-0.378778689,-1.924744994,-0.787555067,-0.834693767,-0.733966789,-0.37018922,-0.597241422,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,living,N,-1.974081192,-1.718758603,0.505109906,-0.762732281,-1.982442408,0.191522982,0.096818687,0.179672452,-0.37018922,7.521013006,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,other,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,-0.787555067,2.279988164,2.817345334,-0.37018922,2.939423873,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,shopping,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,1.292985788,2.969410104,2.849225922,-0.37018922,1.653363766,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,shopping,Y,-1.048239237,-0.675885898,0.505109906,-0.525073307,-1.0363593,-0.501990636,0.64585134,0.684572065,-0.37018922,0.849576199,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,living,Y,-0.816778749,-0.870831546,-0.766112487,-0.298599064,-0.829499673,-0.012451611,1.130951598,1.119377567,-0.37018922,1.050523091,-0.370365459,-0.461184806,-0.42676589,1
male,college ,high,study,N,-1.048239237,-0.675885898,0.505109906,-0.525073307,-1.0363593,-0.70596523,0.269174172,0.351235744,-0.37018922,0.045788632,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,other,Y,-1.650036508,-1.775421987,-2.037334879,-0.415079095,-1.67876141,-0.787555067,-0.16367652,-0.106404389,-0.37018922,-0.15515826,-0.370365459,-0.461184806,-0.42676589,1
female,college ,other,business,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,-0.624375392,2.481069564,2.389840613,-0.37018922,2.939423873,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,high,living,Y,-1.511160215,-1.537300864,-1.401723683,-0.476793657,-1.531531453,-0.338810961,-0.713539351,-0.621609942,-0.37018922,-0.356105152,-0.370365459,-0.461184806,-0.42676589,1
female,college ,other,trading,N,-1.251230086,-1.944737573,0.505109906,-0.818821387,-2.216701824,-0.787555067,-0.750475132,-0.660090193,-0.37018922,-0.436483908,-0.370365459,-0.461184806,-0.42676589,1
female,college ,other,trading,N,-1.93806594,-1.794309781,0.505109906,-0.755386097,-1.953198402,-0.787555067,-0.258049766,-0.218453862,-0.37018922,0.769197442,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,shopping,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,-0.583580474,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,other,N,-1.511160215,-1.500874403,0.505109906,-0.648866431,-1.529160317,0.721856926,-0.356864038,-0.282385238,-0.37018922,0.528061172,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,study,N,-1.696328606,-1.627692452,0.505109906,-0.695061353,-1.713055057,-0.624375392,0.154270516,0.188037614,-0.37018922,1.974878793,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,living,N,-1.511160215,-1.570354504,-0.13050129,-0.615576968,-1.533683039,1.007421357,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
female,college ,other,other,N,-1.742620704,-1.659396964,0.505109906,-0.706610117,-1.759028742,0.191522982,-0.075536798,-0.035545653,-0.37018922,-0.114968882,-0.370365459,-0.461184806,-0.42676589,1
male,college ,high,trading,N,-2.039191028,-1.864801728,0.505109906,-0.780634467,-2.053708228,-0.787555067,-0.038730284,-0.002626088,-0.37018922,-0.114968882,-0.370365459,-0.461184806,-0.42676589,1
male,college ,high,study,N,0.109063206,-0.847559085,-1.401723683,0.31788474,0.050213592,-0.298016042,2.682150963,2.561424227,-0.37018922,0.970144334,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,shopping,Y,-0.353857771,0.105262688,0.505109906,-0.346845622,-0.326862834,-0.583580474,-0.191937074,-0.166167156,-0.37018922,-0.436483908,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,shopping,N,-0.58531826,-0.156468178,0.505109906,-0.406276911,-0.563449476,-0.420400799,1.502050192,1.433260379,-0.37018922,0.929954956,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,rent,N,1.26636565,1.012551385,0.505109906,0.054050519,1.26904316,0.109933145,-0.725638706,-0.634529836,-0.37018922,-0.235537017,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,other,N,-1.048239237,-1.18180559,0.505109906,-0.533346036,-1.069291739,0.721856926,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,study,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,-0.70596523,5.841171343,5.417206059,-0.37018922,3.01980263,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,study,N,-1.048239237,-1.413181072,-0.766112487,-0.394628908,-1.084352841,0.395497576,-0.448973682,-0.385823141,-0.37018922,-0.436483908,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,trading,N,-1.675103679,-1.613189324,0.505109906,-0.689766806,-1.691978296,-0.787555067,-0.841562133,-0.699871071,-0.37018922,-0.436483908,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,living,Y,-1.742620704,-1.519762198,0.505109906,-0.70432681,-1.749939389,-0.624375392,1.935277194,2.533336285,-0.37018922,2.859045117,-0.370365459,-0.461184806,-0.42676589,1
