Film ,Major_Studio,Rotten_Tomatoes,Audience_Score,Genre,Domestic_Gross,Foreign_Gross,Worldwide_Gross,Budget,Profitability,Oscar,Release_time
300,Warner Bros.,60,90,Action,210.61,245.45,456.07,65,701.64,0,2007
3:10 to Yuma,Lionsgate,88,85,Western,53.61,16.17,69.78,48,145.38,0,2007
30 Days of Night,Independent,50,57,Horror,39.57,35.53,75.1,32,234.67,0,2007
Across the Universe,Independent,54,84,Romance,24.34,5.02,29.37,45,65.26,0,2007
Alien vs. Predator -- Requiem,Fox,14,37,Horror,41.8,87.09,128.88,40,322.21,0,2007
Alvin and the Chipmunks,Fox,26,73,Animation,217.33,143.14,360.47,70,514.95,0,2007
American Gangster,Universal,79,87,Thriller,130.16,137.74,267.9,100,267.9,0,2007
Bee Movie,Paramount,52,57,Animation,126.63,160.49,287.12,150,191.42,0,2007
Beowulf,Paramount,71,52,Action,82.2,114.07,196.26,150,130.84,0,2007
Blades of Glory,Paramount,69,66,Comedy,118.59,27.11,145.71,61,238.87,0,2007
Charlie Wilson's War,Universal,82,73,Biography,66.66,51.81,118.48,75,157.97,0,2007
Daddy Day Camp,Sony,1,63,Comedy,13.24,4.96,18.2,6,303.29,0,2007
Disturbia,Paramount,67,75,Thriller,80.21,37.55,117.76,20,588.8,0,2007
Dragon Wars (aka D-War),Mediaplex,27,44,Action,10.98,63.27,74.25,75,99,0,2007
Enchanted,Disney,93,80,Comedy,127.81,212.68,340.49,85,400.57,0,2007
Epic Movie,Independent,2,38,Comedy,39.74,47.13,86.87,20,434.33,0,2007
Evan Almighty,Universal,23,56,Comedy,100.46,72.93,173.39,175,99.08,0,2007
Fantastic Four: Rise of the Silver Surfer,Fox,35,55,Action,131.92,157.13,289.05,130,222.34,0,2007
Ghost Rider,Sony,28,56,Action,115.8,112.94,228.74,110,207.94,0,2007
Good Luck Chuck,Lionsgate,3,61,Comedy,35.02,24.17,59.19,25,236.77,0,2007
Grindhouse,The Weinstein Company,82,86,Action,25.04,25.16,50.19,53,94.71,0,2007
Hairspray,Warner Bros.,92,84,Musical,118.87,83.68,202.55,75,270.06,0,2007
